City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,21.73,97,100,3.6,US,1718806341
1,west bay,19.3667,-81.4167,30.03,80,97,6.86,KY,1718806341
2,revda,56.801,59.9303,26.69,63,11,2.54,RU,1718806342
3,adamstown,-25.066,-130.1015,22.24,86,100,10.12,PN,1718806342
4,waitangi,-43.9535,-176.5597,8.79,65,100,5.78,NZ,1718806342
5,fortuna,40.5982,-124.1573,10.19,97,100,0.0,US,1718806342
6,west island,-12.1568,96.8225,27.99,83,75,7.72,CC,1718806343
7,medina,24.4686,39.6142,45.24,4,20,5.14,SA,1718806343
8,rongelap,11.1635,166.8941,28.27,78,2,7.31,MH,1718806343
9,bilibino,68.0546,166.4372,12.12,46,34,2.74,RU,1718806343
10,mount gambier,-37.8333,140.7667,6.49,83,97,3.29,AU,1718806343
11,enewetak,11.3474,162.3373,28.23,78,20,7.4,MH,1718806344
12,port lincoln,-34.7333,135.8667,12.66,66,74,9.33,AU,1718806344
13,ushuaia,-54.8,-68.3,-3.21,93,100,0.95,AR,1718806344
14,victoria,22.2855,114.1577,30.74,84,100,2.24,HK,1718806169
15,bethel,41.3712,-73.414,29.08,70,0,3.6,US,1718806344
16,port-aux-francais,-49.35,70.2167,3.51,73,68,5.54,TF,1718806344
17,puerto natales,-51.7236,-72.4875,-7.75,86,20,3.09,CL,1718806345
18,isheyevka,54.4167,48.2667,21.11,79,51,7.23,RU,1718806345
19,kailua-kona,19.6406,-155.9956,24.22,86,0,1.54,US,1718806284
20,nova sintra,14.8667,-24.7167,24.68,80,100,5.2,CV,1718806345
21,tiksi,71.6872,128.8694,1.46,87,51,1.76,RU,1718806345
22,qaqortoq,60.7167,-46.0333,4.46,83,100,2.34,GL,1718806345
23,antsiranana,-12.2787,49.2917,25.18,67,4,9.41,MG,1718806346
24,cranbrook,49.4999,-115.7688,7.76,85,80,0.74,CA,1718806132
25,fuding,27.3273,120.214,25.01,99,100,0.43,CN,1718806346
26,invercargill,-46.4,168.35,3.9,82,100,1.79,NZ,1718806346
27,jamestown,42.097,-79.2353,27.77,88,0,3.6,US,1718806347
28,edinburgh of the seven seas,-37.0676,-12.3116,13.67,86,94,9.09,SH,1718806347
29,college,64.8569,-147.8028,16.2,71,75,2.06,US,1718806347
30,iqaluit,63.7506,-68.5145,1.5,79,100,2.24,CA,1718806347
31,saint-pierre,-21.3393,55.4781,22.82,60,75,7.72,RE,1718806347
32,hithadhoo,-0.6,73.0833,28.67,69,23,1.85,MV,1718806347
33,bredasdorp,-34.5322,20.0403,15.52,59,46,2.42,ZA,1718806348
34,kharkhorin,47.1975,102.8238,14.94,79,100,0.96,MN,1718806348
35,trincomalee,8.5711,81.2335,29.4,70,100,7.56,LK,1718806086
36,blackmans bay,-43.0167,147.3167,7.07,92,97,2.53,AU,1718806348
37,klyuchi,52.2667,79.1667,19.5,44,65,1.86,RU,1718806348
38,khorinsk,52.1657,109.7726,18.02,62,100,3.43,RU,1718806349
39,guerrero negro,27.9769,-114.0611,16.77,85,0,4.82,MX,1718806117
40,albany,42.6001,-73.9662,29.8,75,100,0.45,US,1718806349
41,kingston,17.997,-76.7936,30.65,71,22,1.99,JM,1718806061
42,whitehorse,60.7161,-135.0538,11.17,74,45,1.64,CA,1718806349
43,la'ie,21.6477,-157.9253,26.98,79,88,3.58,US,1718806349
44,margaret river,-33.95,115.0667,10.4,79,6,3.35,AU,1718806349
45,san patricio,28.017,-97.5169,26.97,97,100,4.44,US,1718806350
46,papatowai,-46.5619,169.4708,7.4,77,98,7.48,NZ,1718806350
47,palmer,42.1584,-72.3287,28.68,61,0,2.57,US,1718806350
48,santa cruz,-17.8,-63.1667,26.7,78,75,8.75,BO,1718806350
49,la ronge,55.1001,-105.2842,8.2,65,100,3.79,CA,1718806350
50,grytviken,-54.2811,-36.5092,-6.85,61,4,1.32,GS,1718806351
51,port elizabeth,-33.918,25.5701,17.28,79,70,2.24,ZA,1718806351
52,talnakh,69.4865,88.3972,3.87,50,100,1.58,RU,1718806351
53,sawakin,19.1059,37.3321,35.54,48,63,5.78,SD,1718806351
54,malango,-2.9627,119.9001,18.47,98,100,0.89,ID,1718806351
55,tomatlan,19.9333,-105.25,25.42,82,100,1.52,MX,1718806352
56,kuragino,53.8975,92.6725,10.38,87,67,0.9,RU,1718806352
57,puerto ayora,-0.7393,-90.3518,22.98,100,100,4.29,EC,1718806352
58,manta,-0.95,-80.7333,23.88,78,75,2.57,EC,1718806352
59,yellowknife,62.456,-114.3525,14.67,59,2,4.02,CA,1718806352
60,olonkinbyen,70.9221,-8.7187,0.71,98,99,3.5,SJ,1718806352
61,udachny,66.4167,112.4,13.71,51,62,7.55,RU,1718806353
62,chonchi,-42.6128,-73.8092,2.29,90,94,0.86,CL,1718806353
63,vorgashor,67.5833,63.95,5.03,65,7,3.22,RU,1718806353
64,anadyr,64.75,177.4833,2.28,87,0,3.0,RU,1718806353
65,khovd,48.0056,91.6419,12.76,72,97,2.75,MN,1718806353
66,kristiansund,63.1115,7.732,12.85,58,75,4.12,NO,1718806353
67,hotan,37.0997,79.9269,25.08,33,100,6.93,CN,1718806354
68,alofi,-19.0595,-169.9187,21.94,100,91,1.54,NU,1718806354
69,afaahiti,-17.75,-149.2833,18.93,64,0,5.35,PF,1718806354
70,thompson,55.7435,-97.8558,7.75,78,100,3.57,CA,1718806354
71,rzhaksa,52.1338,42.0264,24.73,62,1,5.07,RU,1718806355
72,neryungri,56.6709,124.6491,8.12,89,100,0.95,RU,1718806355
73,wuyishan,28.0047,117.8114,24.35,93,100,2.63,CN,1718806355
74,luderitz,-26.6481,15.1594,19.24,51,28,8.82,NA,1718806355
75,tralee,52.2704,-9.7026,17.14,55,0,2.06,IE,1718806355
76,lensk,60.7253,114.9278,17.27,49,13,4.64,RU,1718806355
77,margate,51.3813,1.3862,17.72,68,100,6.59,GB,1718806356
78,lebu,-37.6167,-73.65,7.97,87,94,2.71,CL,1718806356
79,atafu village,-8.5421,-172.5159,28.57,78,10,6.19,TK,1718806356
80,santander,43.4647,-3.8044,20.62,78,40,4.12,ES,1718806356
81,wailua homesteads,22.0669,-159.378,24.44,83,100,8.23,US,1718806356
82,kapa'a,22.0752,-159.319,25.18,82,100,8.23,US,1718806356
83,east london,-33.0153,27.9116,18.79,61,61,8.09,ZA,1718806357
84,touros,-5.1989,-35.4608,29.07,67,31,6.7,BR,1718806357
85,walvis bay,-22.9575,14.5053,16.72,56,1,6.86,NA,1718806357
86,sur,22.5667,59.5289,34.38,49,15,1.67,OM,1718806357
87,petropavlovsk-kamchatsky,53.0452,158.6483,5.52,94,22,0.24,RU,1718806357
88,fenyi,27.8112,114.6681,24.41,95,100,0.99,CN,1718806358
89,hermanus,-34.4187,19.2345,16.56,62,20,1.12,ZA,1718806358
90,aasiaat,68.7098,-52.8699,2.26,94,100,1.15,GL,1718806358
91,nova olinda do norte,-3.8881,-59.0942,30.94,58,84,1.96,BR,1718806358
92,juegang,32.3174,121.1855,23.51,93,97,3.01,CN,1718806358
93,cochin,9.9399,76.2602,28.34,82,100,4.05,IN,1718806358
94,fort william,56.8165,-5.1121,15.17,67,100,3.7,GB,1718806359
95,nikolayevsk-on-amure,53.1406,140.73,5.23,98,100,0.86,RU,1718806359
96,port mathurin,-19.6833,63.4167,23.66,68,10,10.49,MU,1718806359
97,qamdo,31.1667,97.2333,13.89,53,100,2.23,CN,1718806359
98,gorlice,49.6556,21.1604,30.31,51,10,7.26,PL,1718806359
99,sitka,57.0531,-135.33,11.94,82,100,2.06,US,1718806360
100,santa terezinha,-29.9002,-50.0904,19.3,94,84,4.79,BR,1718806360
101,jiangzi,28.95,89.6333,12.81,36,95,3.73,CN,1718806360
102,inirida,3.8653,-67.9239,25.52,96,100,1.44,CO,1718806360
103,ancud,-41.8697,-73.8203,5.53,75,94,1.56,CL,1718806360
104,gadzhiyevo,69.2551,33.3362,7.92,91,100,12.65,RU,1718806360
105,petrolina,-9.3986,-40.5008,30.03,45,20,7.72,BR,1718806361
106,utrik,11.2278,169.8474,28.35,79,24,8.42,MH,1718806361
107,waimea,20.0231,-155.6717,18.97,98,64,3.13,US,1718806154
108,omidiyeh,30.7597,49.705,46.79,7,0,5.89,IR,1718806361
109,laojunmiao,39.8333,97.7333,17.9,40,100,4.7,CN,1718806361
110,darnah,32.767,22.6367,26.38,71,0,11.6,LY,1718806362
111,quellon,-43.1167,-73.6167,4.26,79,20,2.62,CL,1718806362
112,takoradi,4.8845,-1.7554,27.94,78,95,6.04,GH,1718806362
113,turkmenabat,39.0733,63.5786,38.8,13,1,7.74,TM,1718806362
114,yazd,31.8972,54.3675,35.32,11,78,7.74,IR,1718806362
115,naze,28.3667,129.4833,23.45,93,100,2.29,JP,1718806362
116,port douglas,-16.4833,145.4667,19.3,80,0,2.29,AU,1718806063
117,paoua,7.2427,16.4406,36.31,27,66,3.39,CF,1718806363
118,golaghat,26.5167,93.9667,24.83,95,100,2.11,IN,1718806363
119,uturoa,-16.7333,-151.4333,25.25,61,11,5.52,PF,1718806363
120,chandbali,20.7833,86.7667,31.82,57,100,5.07,IN,1718806363
121,kristinestad,62.2743,21.376,15.05,82,41,6.07,FI,1718806363
122,mount pearl,47.5166,-52.7813,21.92,74,100,0.89,CA,1718806364
123,ust'-ordynskiy,52.805,104.7508,16.42,96,100,1.38,RU,1718806364
124,afif,23.9065,42.9172,40.23,5,0,5.65,SA,1718806364
125,satellite beach,28.1761,-80.5901,28.01,86,20,8.23,US,1718806299
126,namsos,64.4662,11.4957,12.03,87,75,3.6,NO,1718806364
127,san juan,-31.5375,-68.5364,11.35,52,0,3.19,AR,1718806364
128,champerico,14.3,-91.9167,25.3,95,100,4.14,GT,1718806365
129,hadibu,12.65,54.0333,31.03,62,51,6.64,YE,1718806365
130,todos santos,23.45,-110.2167,21.39,61,0,3.9,MX,1718806365
131,kargasok,59.0556,80.8572,9.25,43,7,7.93,RU,1718806365
132,al bayda',32.7627,21.7551,26.31,41,0,10.15,LY,1718806365
133,lodja,-3.4833,23.4333,36.71,19,8,1.16,CD,1718806366
134,pembroke,45.8168,-77.1162,29.54,66,100,4.21,CA,1718806366
135,mount isa,-20.7333,139.5,8.87,71,0,0.0,AU,1718806366
136,lazaro cardenas,17.9583,-102.2,26.58,82,97,1.32,MX,1718806366
137,constantia,44.1833,28.65,31.38,57,0,3.62,RO,1718806366
138,emerald,-23.5333,148.1667,13.86,34,2,2.69,AU,1718806366
139,minas de marcona,-15.2119,-75.1103,12.96,77,52,5.25,PE,1718806367
140,mata-utu,-13.2816,-176.1745,28.12,80,48,6.81,WF,1718806367
141,yatou,37.15,122.3833,19.39,81,14,2.65,CN,1718806367
142,deqen,29.9618,90.7188,13.46,58,21,3.05,CN,1718806367
143,aras-asan,8.8908,126.3033,24.61,94,100,4.26,PH,1718806367
144,shelburne,44.0787,-80.2041,25.33,80,100,4.84,CA,1718806368
145,nova xavantina,-14.6667,-52.35,29.09,31,0,2.04,BR,1718806368
146,menongue,-14.6585,17.691,28.55,13,3,2.35,AO,1718806368
147,gualeguaychu,-33.0094,-58.5172,19.32,71,0,2.24,AR,1718806368
148,timimoun,29.2639,0.231,47.79,6,39,4.19,DZ,1718806368
149,n'zeto,-7.2312,12.8666,24.91,70,16,5.69,AO,1718806369
150,labytnangi,66.6572,66.4183,11.19,42,0,3.57,RU,1718806369
151,muravlenko,63.7898,74.523,7.11,55,77,8.05,RU,1718806369
152,talcahuano,-36.7167,-73.1167,8.82,87,20,2.06,CL,1718806104
153,pankrushikha,53.8319,80.3406,15.6,71,100,1.86,RU,1718806369
154,ribeira grande,38.5167,-28.7,21.22,64,75,2.57,PT,1718806369
155,mili,6.0815,171.735,28.27,80,12,6.91,MH,1718806370
156,bealanana,-14.55,48.7333,17.77,75,7,3.12,MG,1718806370
157,conception bay south,47.4999,-52.9981,22.25,72,100,2.05,CA,1718806370
158,tura,25.5198,90.2201,23.83,94,100,3.26,IN,1718806370
159,arraial do cabo,-22.9661,-42.0278,26.92,65,0,3.6,BR,1718806370
160,saint-francois,46.4154,3.9054,27.04,57,0,4.12,FR,1718806370
161,harnai,30.1005,67.9374,37.05,12,0,3.78,PK,1718806371
162,georgetown,5.4112,100.3354,28.96,79,20,0.0,MY,1718806223
163,selfoss,63.9331,-20.9971,9.41,80,100,4.69,IS,1718806371
164,opuwo,-18.0607,13.84,28.05,8,1,2.28,NA,1718806371
165,besisahar,28.2313,84.3761,23.56,74,96,2.48,NP,1718806371
166,cabedelo,-6.9811,-34.8339,25.37,78,3,7.06,BR,1718806372
167,ugoofaaru,5.6667,73.0,28.98,79,100,6.62,MV,1718806372
168,avarua,-21.2078,-159.775,20.03,83,40,1.54,CK,1718806372
169,chegdomyn,51.1167,133.0167,11.19,97,100,1.73,RU,1718806372
170,revelstoke,50.9832,-118.2023,7.01,93,40,1.03,CA,1718806372
171,abashiri,44.0213,144.2697,10.82,87,10,2.07,JP,1718806373
172,jiuquan,39.7432,98.5174,22.97,31,100,6.8,CN,1718806373
173,fort bragg,35.139,-79.006,28.44,63,0,2.57,US,1718806373
174,berga,60.392,5.328,16.15,62,40,5.14,NO,1718806373
175,longyearbyen,78.2186,15.6401,9.91,46,75,6.69,SJ,1718806373
176,pombas,17.1503,-25.0201,18.13,86,86,3.21,CV,1718806373
177,maragogi,-9.0122,-35.2225,26.65,79,20,5.03,BR,1718806100
178,severo-yeniseyskiy,60.3725,93.0408,4.26,84,89,3.67,RU,1718806374
179,helena valley west central,46.6629,-112.0604,10.63,82,0,2.06,US,1718806374
180,stanley,54.868,-1.6985,17.66,55,40,2.06,GB,1718806374
181,lamu,-2.2717,40.902,27.07,77,71,4.45,KE,1718806374
182,pitimbu,-7.4706,-34.8086,25.33,78,45,6.32,BR,1718806374
183,ilulissat,69.2167,-51.1,3.01,93,100,2.57,GL,1718806375
184,beledweyne,4.7358,45.2036,34.1,37,97,8.34,SO,1718806375
185,khark,29.2614,50.3306,33.59,64,0,5.71,IR,1718806375
186,gonabad,34.3529,58.6837,34.09,12,69,10.12,IR,1718806375
187,onega,63.9061,38.1404,16.15,74,51,3.45,RU,1718806375
188,ust-nera,64.5667,143.2,11.81,80,16,1.3,RU,1718806376
189,sao sebastiao do passe,-12.5125,-38.4953,27.75,54,47,2.97,BR,1718806376
190,forster,-32.1667,152.5167,8.71,73,39,2.98,AU,1718806376
191,hamilton,39.1834,-84.5333,29.05,78,40,3.09,US,1718806353
192,shenjiamen,29.9576,122.298,22.6,97,100,4.7,CN,1718806376
193,ampanihy,-24.7,44.75,25.54,47,6,2.63,MG,1718806376
194,khandyga,62.6667,135.6,11.09,91,100,1.61,RU,1718806376
195,kone,-21.0595,164.8658,15.36,81,0,1.41,NC,1718806377
196,palasa,18.7667,84.4167,30.45,72,92,6.13,IN,1718806377
197,alice springs,-23.7,133.8833,14.75,72,20,2.06,AU,1718806377
198,shingu,33.7333,135.9833,20.55,82,100,1.86,JP,1718806377
199,amlame,7.4667,0.9,30.6,62,100,1.76,TG,1718806378
200,el bauga,18.262,33.9081,42.57,17,1,2.35,SD,1718806381
201,natal,-5.795,-35.2094,26.36,89,75,3.09,BR,1718806382
202,kuanda,56.3161,116.0806,12.78,73,26,2.15,RU,1718806382
203,kodiak,57.79,-152.4072,7.73,93,100,2.57,US,1718806383
204,cockburn town,21.4612,-71.1419,27.48,78,100,6.67,TC,1718806383
205,gizo,-8.103,156.8419,27.76,81,51,6.83,SB,1718806384
206,la gi,10.6667,107.7833,28.43,79,100,3.9,VN,1718806384
207,danilovka,50.3557,44.1168,25.53,55,81,6.16,RU,1718806384
208,kerman,30.2832,57.0788,30.43,13,0,8.93,IR,1718806384
209,agua dulce,18.1333,-94.1333,27.88,89,95,2.01,MX,1718806384
210,kruisfontein,-34.0033,24.7314,16.05,71,18,7.44,ZA,1718806385
211,bonthe,7.5264,-12.505,28.19,73,98,4.33,SL,1718806385
212,vilyuchinsk,52.9306,158.4028,6.33,94,24,0.18,RU,1718806385
213,san jose de jachal,-30.2406,-68.7469,13.75,27,0,0.57,AR,1718806386
214,nadi,-17.8,177.4167,25.0,88,40,2.06,FJ,1718806386
215,lata,40.1629,-8.3327,19.02,62,67,4.5,PT,1718806386
216,thanh hoa,19.8,105.7667,29.74,74,52,1.94,VN,1718806120
217,sao jose da coroa grande,-8.8978,-35.1478,26.64,78,30,5.3,BR,1718806386
218,bulungu,-4.55,18.6,37.74,17,14,0.4,CD,1718806387
219,tete,-16.1564,33.5867,32.05,25,0,2.06,MZ,1718806387
220,ilhabela,-23.7781,-45.3581,28.13,44,4,1.18,BR,1718806387
221,broken hill,-31.95,141.4333,11.8,57,99,4.77,AU,1718806387
222,santo antonio do ica,-3.1022,-67.9397,29.39,64,36,1.37,BR,1718806388
223,bumba,2.1833,22.4667,34.89,33,38,0.73,CD,1718806388
224,saldanha,-33.0117,17.9442,15.42,63,0,4.6,ZA,1718806388
225,vila velha,-20.3297,-40.2925,28.97,54,20,3.6,BR,1718806389
226,tazovsky,67.4667,78.7,0.67,94,72,6.93,RU,1718806389
227,bridgewater,44.3835,-64.5155,27.28,74,41,3.13,CA,1718806389
228,prado,-17.3411,-39.2208,25.46,75,49,1.72,BR,1718806390
229,redlands,34.0556,-117.1825,22.58,84,100,0.0,US,1718806210
230,tolanaro,-25.0319,46.9987,22.24,80,0,6.15,MG,1718806390
231,hammerfest,70.6634,23.6821,16.25,82,75,4.63,NO,1718806390
232,gao,16.6362,1.637,43.6,11,89,2.95,ML,1718806391
233,belyy yar,53.6039,91.3903,13.94,67,0,4.0,RU,1718806391
234,itajobi,-21.3181,-49.0544,28.26,23,0,4.73,BR,1718806391
235,al ghayzah,16.2079,52.176,29.59,80,42,7.59,YE,1718806391
236,egilsstadir,65.2653,-14.3948,4.06,99,100,3.91,IS,1718806391
237,dudinka,69.4058,86.1778,6.06,50,100,4.74,RU,1718806392
238,castillos,-34.1667,-53.8333,18.3,79,11,0.59,UY,1718806392
239,bamboo flat,11.7,92.7167,29.05,84,20,3.6,IN,1718806392
240,mila,36.4503,6.2644,43.18,6,78,5.87,DZ,1718806392
241,badger,64.8,-147.5333,16.15,74,0,2.06,US,1718806393
242,xining,36.6167,101.7667,18.72,52,99,4.46,CN,1718806393
243,port alfred,-33.5906,26.891,16.21,72,99,3.58,ZA,1718806393
244,hasaki,35.7333,140.8333,18.22,82,0,2.42,JP,1718806393
245,khash,28.2211,61.2158,33.08,9,0,9.92,IR,1718806393
246,betio village,1.358,172.9211,29.02,73,89,5.1,KI,1718806394
247,isafjordur,66.0755,-23.124,8.02,61,75,3.09,IS,1718806394
248,kingisepp,59.3733,28.6134,13.88,98,100,1.97,RU,1718806394
249,rio grande,-32.035,-52.0986,18.06,95,100,3.29,BR,1718806394
250,nantucket,41.2835,-70.0995,25.06,84,0,4.12,US,1718806394
251,awjilah,29.1081,21.2869,38.1,13,0,6.49,LY,1718806395
252,coahuayana de hidalgo,18.7,-103.6583,25.87,87,98,1.21,MX,1718806395
253,letlhakane,-21.4167,25.5833,25.65,21,1,1.94,BW,1718806395
254,ponta delgada,37.7333,-25.6667,21.4,60,75,3.6,PT,1718806395
255,novodvinsk,64.4165,40.8122,16.86,95,100,3.77,RU,1718806395
256,carnarvon,-24.8667,113.6333,18.8,50,0,8.86,AU,1718806395
257,faya-largeau,17.9257,19.1043,43.42,5,0,5.81,TD,1718806396
258,vilyuysk,63.7553,121.6247,8.09,82,3,2.62,RU,1718806396
259,stettler,52.3168,-112.7186,9.3,76,100,0.9,CA,1718806396
260,st. john's,47.5649,-52.7093,22.38,75,100,4.02,CA,1718806397
261,suva,-18.1416,178.4415,24.71,94,75,0.0,FJ,1718806397
262,jequie,-13.8575,-40.0836,26.03,66,47,3.2,BR,1718806397
263,mossel bay,-34.1831,22.146,14.61,73,40,4.92,ZA,1718806397
264,gorodishche,48.8045,44.4744,31.49,30,0,6.0,RU,1718806398
265,presidente medici,-11.1753,-61.9014,31.07,41,0,0.86,BR,1718806398
266,moussoro,13.6408,16.4901,39.39,24,14,2.54,TD,1718806398
267,san antonio de pale,-1.4014,5.6325,24.92,86,100,5.04,GQ,1718806398
268,lihue,21.9789,-159.3672,24.77,77,100,8.23,US,1718806398
269,den burg,53.0542,4.7972,18.87,67,15,5.66,NL,1718806398
270,jayapura,-2.5333,140.7,23.66,90,100,2.36,ID,1718806399
271,machico,32.7,-16.7667,24.51,65,40,5.14,PT,1718806399
272,kalmunai,7.4167,81.8167,29.07,71,100,4.65,LK,1718806399
273,remire-montjoly,4.9167,-52.2667,28.02,78,75,3.09,GF,1718806399
274,poyang,28.9924,116.6675,24.99,95,100,2.88,CN,1718806399
275,pisco,-13.7,-76.2167,19.03,68,0,2.57,PE,1718806400
276,lyubim,58.3625,40.6843,22.78,52,0,5.36,RU,1718806400
277,polyarnyy,69.1989,33.4478,7.92,90,100,12.53,RU,1718806400
278,ceeldheer,3.8488,47.1806,28.45,69,55,9.16,SO,1718806400
279,niafunke,15.9322,-3.9906,42.82,15,22,6.41,ML,1718806400
280,desaguadero,-16.5656,-69.0417,6.49,29,25,1.84,PE,1718806400
281,masumbwe,-3.6333,32.1833,30.46,25,7,3.19,TZ,1718806401
